ID,Title,Level,Bonus,Base,Skill,Fever
1,Tell Your World,Easy,1.14,1.0053527751646285,0.2824459078080903,0.22803386641580425
1,Tell Your World,Normal,1.14,1.040187775993579,0.2559249297470894,0.09004034524287441
1,Tell Your World,Hard,1.14,1.0851840739996097,0.3011194450030163,0.1727565151819824
1,Tell Your World,Expert,1.14,1.1303633935070687,0.34686987188819335,0.1701439219682634
1,Tell Your World,Master,1.14,1.1600596025657253,0.3286058200226387,0.16104843415922526
1,Tell Your World,Append,1.14,1.167578037964848,0.37430190602147195,0.19169570561692859
2,ROKI,Easy,1.09,1.01519137737962,0.3563727883538634,0.21704255319148932
2,ROKI,Normal,1.09,1.0392716996699625,0.3315546204620462,0.141625
2,ROKI,Hard,1.09,1.0893114158935124,0.3821964905203712,0.16996131504638956
2,ROKI,Expert,1.09,1.1343153038915643,0.41934940970703977,0.16068937472671616
2,ROKI,Master,1.09,1.1684224422442206,0.39733509350935103,0.14204655665566548
3,Teo,Easy,1.12,1.0220400000000003,0.2946194923857869,0.17604060913705585
3,Teo,Normal,1.12,1.0628297101449284,0.29258072463768114,0.12751478260869553
3,Teo,Hard,1.12,1.0997044522181612,0.38304349658133247,0.10124762283351879
3,Teo,Expert,1.12,1.1580719271623583,0.3514594949057013,0.09611858877086504
3,Teo,Master,1.12,1.1984446425495205,0.40590962962962956,0.1298533850129198
6,HIBANA -Reloaded-,Easy,1.05,1.0244243194192373,0.43567976406533576,0.1290087114337568
6,HIBANA -Reloaded-,Normal,1.05,1.0597210344827643,0.3743641379310345,0.09595034482758624
6,HIBANA -Reloaded-,Hard,1.05,1.0933432277756536,0.4385193533002671,0.1240093666539488
6,HIBANA -Reloaded-,Expert,1.05,1.1534581706389428,0.43105111244929,0.13468346222109542
6,HIBANA -Reloaded-,Master,1.05,1.1881815988458766,0.44400960600935213,0.13442935031340184
6,HIBANA -Reloaded-,Append,1.05,1.212910679579989,0.40390392128089747,0.12560499902171776
8,Time Machine,Easy,1.14,1.0093629861982434,0.3237499686323714,0.18594391468005017
8,Time Machine,Normal,1.14,1.0369601646611761,0.3687321722609247,0.1600968334388853
8,Time Machine,Hard,1.14,1.0760951404882535,0.3134943919852602,0.10936574159373566
8,Time Machine,Expert,1.14,1.1236603599374073,0.3118721987480438,0.10710657276995307
8,Time Machine,Master,1.14,1.156036476178571,0.34582947355258215,0.11082233337501585
10,Happy Synthesizer,Easy,1.16,1.006648291571754,0.3376708428246013,0.1603650341685649
10,Happy Synthesizer,Normal,1.16,1.047919590643279,0.30788717836257307,0.12563289473684217
10,Happy Synthesizer,Hard,1.16,1.0959611749584173,0.3086744593981551,0.12653417510963252
10,Happy Synthesizer,Expert,1.16,1.1367479971890309,0.33142795151089244,0.13607087139845414
